lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status,arrival_month,cancellation_risk,dynamic_price
224,0,0,65.0,2,1,2017-10-02,0,2,Not_Canceled,10,0.0,68.25
5,1,1,106.68,2,2,2018-11-06,0,3,Not_Canceled,11,0.08539384469750973,112.01400000000001
1,1,0,60.0,1,2,2018-02-28,0,1,Canceled,2,1.0,54.0
211,1,0,100.0,2,0,2018-05-20,0,2,Canceled,5,0.9795827172875433,90.0
48,1,0,94.5,2,1,2018-04-11,0,1,Canceled,4,0.9018499147632209,85.05
346,1,1,115.0,2,0,2018-09-13,0,2,Canceled,9,1.0,103.5
34,1,1,107.55,2,1,2017-10-15,0,3,Not_Canceled,10,0.3144221331549095,112.9275
83,1,1,105.61,2,1,2018-12-26,0,3,Not_Canceled,12,0.3332501332087102,110.8905
121,0,1,96.9,3,0,2018-07-06,0,4,Not_Canceled,7,0.19085911464483457,101.745
44,1,3,133.44,2,0,2018-10-18,0,5,Not_Canceled,10,0.0,140.112
0,1,0,85.03,1,1,2018-09-11,0,0,Not_Canceled,9,0.06458256724363177,89.28150000000001
35,1,1,140.4,1,2,2018-04-30,0,1,Not_Canceled,4,0.38323078777140107,147.42000000000002
30,1,0,88.0,2,2,2018-11-26,0,1,Canceled,11,0.7799357421177758,79.2
95,1,2,90.0,1,2,2018-11-20,0,0,Canceled,11,0.4477420603878827,85.5
47,1,2,94.5,2,0,2017-10-20,0,2,Not_Canceled,10,0.0,99.22500000000001
256,1,1,115.0,2,0,2018-06-15,0,2,Canceled,6,1.0,103.5
0,0,0,96.0,1,1,2017-10-05,0,0,Not_Canceled,10,0.06726760563380284,100.80000000000001
1,1,1,96.0,2,1,2017-08-10,0,3,Not_Canceled,8,0.04909437416902179,100.80000000000001
99,1,0,65.0,2,2,2017-10-30,0,2,Canceled,10,0.25327665404255745,68.25
12,0,0,72.0,2,1,2017-10-04,0,0,Not_Canceled,10,0.053259805714054545,75.60000000000001
99,1,0,65.0,2,2,2017-10-30,0,2,Canceled,10,0.25327665404255745,68.25
122,1,0,67.0,1,0,2018-11-25,0,1,Not_Canceled,11,0.25327665404255745,70.35000000000001
2,0,0,85.0,2,2,2018-03-20,0,4,Not_Canceled,3,0.08927279193835214,89.25
37,0,0,105.0,2,0,2018-10-13,0,3,Not_Canceled,10,0.0,110.25
130,1,1,94.5,2,2,2018-05-22,0,1,Not_Canceled,5,0.2752194236377152,99.22500000000001
99,1,1,114.3,2,0,2018-04-28,0,2,Not_Canceled,4,0.4837976396951592,108.585
60,0,0,65.0,2,1,2017-09-21,0,1,Not_Canceled,9,0.08086105638161657,68.25
2,1,0,110.0,1,0,2018-05-19,0,2,Canceled,5,0.16817470028465775,115.5
37,1,0,37.33,1,1,2017-11-06,0,2,Canceled,11,0.7069146613479991,33.597
56,0,0,82.0,2,0,2017-09-17,0,2,Not_Canceled,9,0.0,86.10000000000001
3,1,1,177.5,2,1,2017-09-19,0,1,Not_Canceled,9,0.04909437416902179,186.375
107,1,1,87.5,2,2,2018-11-13,0,2,Not_Canceled,11,0.6202782399505271,83.125
56,1,1,82.44,0,0,2018-12-07,0,3,Not_Canceled,12,0.0,86.562
2,1,1,69.5,2,0,2018-01-09,0,1,Not_Canceled,1,0.04909437416902179,72.97500000000001
72,0,0,85.5,2,0,2018-10-07,0,2,Not_Canceled,10,0.0,89.775
23,1,1,115.0,2,0,2018-04-27,1,1,Not_Canceled,4,0.020156574442349303,120.75
34,1,0,81.0,1,2,2018-06-19,0,1,Canceled,6,0.6739918084436043,76.95
289,0,0,67.0,2,0,2017-10-17,0,1,Not_Canceled,10,0.9299026048715912,60.300000000000004
247,1,0,63.75,2,2,2018-11-19,0,3,Canceled,11,0.9924205568513174,57.375
186,1,1,121.8,2,2,2018-07-30,0,1,Canceled,7,1.0,109.62
64,1,2,93.6,2,0,2018-11-01,0,4,Not_Canceled,11,0.33881428040894795,98.28
35,1,1,102.0,2,0,2018-06-21,0,2,Not_Canceled,6,0.3144221331549095,107.10000000000001
96,1,1,121.8,3,2,2018-04-10,0,1,Not_Canceled,4,0.906084786143781,109.62
41,1,1,98.1,2,1,2018-06-27,0,1,Canceled,6,0.3144221331549095,103.005
55,0,1,60.0,2,0,2017-11-18,0,4,Not_Canceled,11,0.004379475373959659,63.0
146,0,0,75.0,2,0,2017-12-29,0,3,Not_Canceled,12,0.0,78.75
32,0,0,73.0,1,0,2017-11-20,0,2,Not_Canceled,11,0.0,76.65
55,0,0,104.0,2,0,2018-04-06,0,1,Not_Canceled,4,0.0,109.2
57,1,1,79.2,2,0,2018-11-01,0,4,Not_Canceled,11,0.3144221331549095,83.16000000000001
7,1,2,125.8,1,1,2018-12-29,0,3,Not_Canceled,12,0.0,132.09
124,1,0,87.95,1,2,2018-05-30,0,5,Not_Canceled,5,0.8352941771370453,79.155
169,1,0,106.0,2,2,2018-04-22,0,2,Canceled,4,1.0,95.4
